Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min
60,11.0,0.0,5000.0,5.0,1000.0,60000.0,0.09999999999999999,-311.870352876568,-311.870352876568,0.0,126.29274368286133,,,,,,,,,,,,,,,,-28.7800479884,8.08070526814,0.476404721076,-46.6026627231,,,,,,,,,,,,,,,,,,,,,,,,
61,12.0,0.0,1000.0,1.0,1000.0,61000.0,0.09999999999999999,-257.72215720913493,-257.72215720913493,0.0,129.98716235160828,22.91731701438965,22.91731701438965,0.0,,,,,,,,,,,,,-24.62626353,8.67673197923,-0.984712854878,-37.9314145427,,,,,,,,,,,,,,,,,,,,,,,,
62,12.0,0.0,2000.0,2.0,1000.0,62000.0,0.09999999999999999,,,0.0,132.1942000389099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,12.0,0.0,3000.0,3.0,1000.0,63000.0,0.09999999999999999,-220.04751085065325,-220.04751085065325,0.0,133.4003074169159,34.39895905546517,34.39895905546517,0.0,,,,,,,,,,,,,-23.960962221,12.7150716594,24.3206463536,-41.446938494,,,,,,,,,,,,,,,,,,,,,,,,
64,12.0,0.0,4000.0,4.0,1000.0,64000.0,0.09999999999999999,,,0.0,135.42015051841736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,12.0,0.0,5000.0,5.0,1000.0,65000.0,0.09999999999999999,-276.60169308030135,-276.60169308030135,0.0,136.52191281318665,41.870617079898366,41.870617079898366,0.0,,,,,,,,,,,,,-25.3972550362,11.1519981411,2.02949033899,-48.1185986606,,,,,,,,,,,,,,,,,,,,,,,,
66,13.0,0.0,1000.0,1.0,1000.0,66000.0,0.09999999999999999,,,0.0,140.0867805480957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,13.0,0.0,2000.0,2.0,1000.0,67000.0,0.09999999999999999,-235.51350263616706,-235.51350263616706,0.0,141.18961215019226,9.250608418883397,9.250608418883397,0.0,,,,,,,,,,,,,-22.8150321955,8.36322145549,0.86237417805,-35.9080025246,,,,,,,,,,,,,,,,,,,,,,,,
68,13.0,0.0,3000.0,3.0,1000.0,68000.0,0.09999999999999999,,,0.0,143.24080181121826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,13.0,0.0,4000.0,4.0,1000.0,69000.0,0.09999999999999999,-287.8828804937201,-287.8828804937201,0.0,144.32065105438232,12.198957188521597,12.198957188521597,0.0,,,,,,,,,,,,,-26.4324059085,8.06373100292,0.301419017739,-41.9391375962,,,,,,,,,,,,,,,,,,,,,,,,
